id,season_id,last_modified,sr_id,reference
0e079ffb-2082-476c-b63e-1a290e7ae201,c5ca79d2-9e65-4987-84da-6f26237a47b3,2025-01-07T03:47:06Z,sr:match:51246997,20638
741ac7ce-00d4-4509-8c74-e146d0cda8b3,c5ca79d2-9e65-4987-84da-6f26237a47b3,2025-01-07T03:08:53Z,sr:match:51247001,20640
9a70caa1-f32c-41b3-9441-6c5af93a998a,c5ca79d2-9e65-4987-84da-6f26237a47b3,2025-01-07T04:40:15Z,sr:match:51246999,20639
c5c337d7-c6cb-4c06-9fe7-1b7ec5dc714b,c5ca79d2-9e65-4987-84da-6f26237a47b3,2025-01-07T03:31:57Z,sr:match:51246995,20637
